2,1,38.5,66,28,3,3,nan,2,5,4,4,nan,nan,nan,3,5,45,8.4,nan,nan,2
1,1,39.2,88,20,nan,nan,4,1,3,4,2,nan,nan,nan,4,2,50,85,2,2,3
2,1,38.3,40,24,1,1,3,1,3,3,1,nan,nan,nan,1,1,33,6.7,nan,nan,1
1,9,39.1,164,84,4,1,6,2,2,4,4,1,2,5,3,nan,48,7.2,3,5.3,2
2,1,37.3,104,35,nan,nan,6,2,nan,nan,nan,nan,nan,nan,nan,nan,74,7.4,nan,nan,2
2,1,nan,nan,nan,2,1,3,1,2,3,2,2,1,nan,3,3,nan,nan,nan,nan,1
1,1,37.9,48,16,1,1,1,1,3,3,3,1,1,nan,3,5,37,7,nan,nan,1
1,1,nan,60,nan,3,nan,nan,1,nan,4,2,2,1,nan,3,4,44,8.3,nan,nan,2
2,1,nan,80,36,3,4,3,1,4,4,4,2,1,nan,3,5,38,6.2,nan,nan,3
2,9,38.3,90,nan,1,nan,1,1,5,3,1,2,1,nan,3,nan,40,6.2,1,2.2,1
1,1,38.1,66,12,3,3,5,1,3,3,1,2,1,3,2,5,44,6,2,3.6,1
2,1,39.1,72,52,2,nan,2,1,2,1,2,1,1,nan,4,4,50,7.8,nan,nan,1
1,1,37.2,42,12,2,1,1,1,3,3,3,3,1,nan,4,5,nan,7,nan,nan,1
2,9,38,92,28,1,1,2,1,1,3,2,3,nan,7.2,1,1,37,6.1,1,nan,2
1,1,38.2,76,28,3,1,1,1,3,4,1,2,2,nan,4,4,46,81,1,2,1
1,1,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,nan,45,6.8,nan,nan,2
1,9,nan,128,36,3,3,4,2,4,4,3,3,nan,nan,4,5,53,7.8,3,4.7,2
2,1,37.5,48,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
1,1,37.6,64,21,1,1,2,1,2,3,1,1,1,nan,2,5,40,7,1,nan,1
2,1,39.4,110,35,4,3,6,nan,nan,3,3,nan,nan,nan,nan,nan,55,8.7,nan,nan,1
1,1,39.9,72,60,1,1,5,2,5,4,4,3,1,nan,4,4,46,6.1,2,nan,1
